CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,572,EL AL ISRAEL AIRLINES,2024-02-06T00:20:00,2024-02-06T00:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
LY,614,EL AL ISRAEL AIRLINES,2024-02-06T00:20:00,2024-02-06T00:20:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
IZ,639,ARKIA  ISRAELI  AIRLINES,2024-02-06T00:30:00,2024-02-06T00:30:00,D,SEZ,MAHE SEYCHELLES INTL,מאהה,MAHE SEYCHELLES,איי סיישל,SEYCHELLES,3,12-16,A,ON TIME,בזמן
LY,364,EL AL ISRAEL AIRLINES,2024-02-06T00:35:00,2024-02-06T00:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-02-06T00:35:00,2024-02-06T00:35:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
6H,584,ISRAIR AIRLINES,2024-02-06T00:35:00,2024-02-06T00:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-02-06T00:45:00,2024-02-06T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-02-06T00:45:00,2024-02-06T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-06T00:45:00,2024-02-06T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-06T00:45:00,2024-02-06T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-02-06T00:45:00,2024-02-06T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-02-06T00:45:00,2024-02-06T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-02-06T00:45:00,2024-02-06T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-02-06T00:45:00,2024-02-06T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-02-06T00:45:00,2024-02-06T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-06T01:00:00,2024-02-06T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-06T01:00:00,2024-02-06T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-02-06T01:00:00,2024-02-06T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-02-06T01:00:00,2024-02-06T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-02-06T01:00:00,2024-02-06T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-02-06T01:00:00,2024-02-06T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-02-06T01:00:00,2024-02-06T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-02-06T01:05:00,2024-02-06T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
DL,7435,DELTA AIRLINES,2024-02-06T01:05:00,2024-02-06T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
ET,404,ETHIOPIAN AIRLINES,2024-02-06T01:05:00,2024-02-06T01:05:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,015,EL AL ISRAEL AIRLINES,2024-02-06T01:05:00,2024-02-06T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,34-55,B,ON TIME,בזמן
